Parameter.code,0
O2,20888
Ptot,10843
NO3,10533
NH4,10313
NO2,10302
Cl,10296
PO4,9843
NKj,9665
Ntot,8951
SO4,8482
sNO3NO2,8389
NH3,6665
CHLFa,4922
OS,4475
Ca,4262
Fe,3741
Corg,3694
Ni,3314
Cu,3248
Mg,3240
Zn,3121
Na,2960
Cd,2867
HCO3,2815
Cr,2695
K,2688
Pb,2681
KROOS,2213
BZV5,2083
FEOa,1994
As,1958
Al,1935
Hg,1921
BZV5a,1915
Mn,1616
Co,1586
Ba,1262
U,1178
Sn,1175
Tl,1148
Se,1145
V,1135
Naf,1133
Sb,1130
Be,1126
Ag,1122
Fen,1122
BkF,1122
Chr,1122
Pyr,1122
DBahAnt,1122
BaP,1122
BaA,1122
Flu,1122
Mo,1117
BbF,1109
BghiPe,1109
InP,1109
Ant,1108
Te,1091
Sr,1055
GR,873
AcNe,856
Fle,856
pirmcb,846
acnfn,842
imdcpd,831
DClvs,826
iptrn,825
linrn,819
atzne,818
Daznn,817
tolcfsC1y,817
thiacpd,817
Dmtat,816
Clidzn,815
C2yClprfs,814
propcnzl,807
Durn,801
terbtn,801
terC4yazne,801
alCl,793
Clfvfs,791
C1yprmfs,785
pyrpxfn,772
simzne,768
bfnx,768
dmtn,762
C2yazfs,752
Norg,752
Mlnrn,748
mzCl,746
fenOxcb,741
malton,740
mevfs,738
C1yprton,737
heptnfs,737
Tazfs,734
pyrdbn,733
CO3,731
Cltlrn,724
metbtazrn,723
cypmtn,722
C1yazfs,713
propzne,704
pyrazfs,701
desC2yatzne,699
AcNy,696
esfvlrt,696
Tfrlne,695
feNO2ton,690
fenton,684
C2yprton,684
metlCl,678
lcyhltn,662
C1ymsfrn,644
4ttC8yFol,640
E_COLI,633
124TClBen,618
abmtne,605
Li,598
B,598
dodne,585
carbdzm,582
Tfxsbn,581
Dmtmf,581
kresOxmC1y,581
mmtn,581
azoxsbn,578
cypdnl,577
fenppmf,575
boscld,571
pyrcsbn,570
