Parameter.groep,Parameter.code,Parameter.omschrijving,Grootheid.code,Eenheid.code
ChemischeStof,PBDE49,"2,2',4,5'-tetrabroomdifenylether",CONCTTE,ug/l
ChemischeStof,PBDE66,"2,3',4,4'-tetrabroomdifenylether",CONCTTE,ug/l
ChemischeStof,PBDE71,"2,3',4',6-tetrabroomdifenylether",CONCTTE,ug/l
ChemischeStof,PBDE75,"2,4,4',6-tetrabroomdifenylether",CONCTTE,ug/l
ChemischeStof,PBDE85,"2,2',3,4,4'-pentabroomdifenylether",CONCTTE,ug/l
ChemischeStof,PBDE99,"2,2',4,4',5-pentabroomdifenylether",CONCTTE,ug/l
ChemischeStof,PCB101,"2,2',4,5,5'-pentachloorbifenyl",CONCTTE,ug/l
ChemischeStof,PCB118,"2,3',4,4',5-pentachloorbifenyl",CONCTTE,ug/l
ChemischeStof,PCB123,"2,3',4,4',5'-pentachloorbifenyl",CONCTTE,ug/l
ChemischeStof,PCB138,"2,2',3,4,4',5'-hexachloorbifenyl",CONCTTE,ug/l
ChemischeStof,PCB153,"2,2',4,4',5,5'-hexachloorbifenyl",CONCTTE,ug/l
ChemischeStof,PCB180,"2,2',3,4,4',5,5'-heptachloorbifenyl",CONCTTE,ug/l
ChemischeStof,PCB28,"2,4,4'-trichloorbifenyl",CONCTTE,pg/l
ChemischeStof,PCB28,"2,4,4'-trichloorbifenyl",CONCTTE,ug/l
ChemischeStof,PCB52,"2,2',5,5'-tetrachloorbifenyl",CONCTTE,ug/l
ChemischeStof,PF37DC1yOA,"perfluor-3,7-dimethyloctaanzuur",CONCTTE,ug/l
ChemischeStof,PFBA,perfluorbutaanzuur,CONCTTE,ng/l
ChemischeStof,PFBA,perfluorbutaanzuur,CONCTTE,ug/l
ChemischeStof,PFC16azr,perfluorhexadecaanzuur,CONCTTE,ug/l
ChemischeStof,PFC18azr,perfluoroctadecaanzuur,CONCTTE,ug/l
ChemischeStof,PFC4asfAd,perfluorbutaansulfonamide,CONCTTE,ug/l
ChemischeStof,PFC5asfzr,perfluor-1-pentaansulfonzuur,CONCTTE,ng/l
ChemischeStof,PFC5asfzr,perfluor-1-pentaansulfonzuur,CONCTTE,ug/l
ChemischeStof,PFC9asfzr,perfluornonaan-1-sulfonzuur,CONCTTE,ng/l
ChemischeStof,PFC9asfzr,perfluornonaan-1-sulfonzuur,CONCTTE,ug/l
ChemischeStof,PFDA,perfluordecaanzuur,CONCTTE,ng/l
ChemischeStof,PFDA,perfluordecaanzuur,CONCTTE,ug/l
ChemischeStof,PFDoA,perfluordodecaanzuur,CONCTTE,ng/l
ChemischeStof,PFDoA,perfluordodecaanzuur,CONCTTE,ug/l
ChemischeStof,PFHpA,perfluorheptaanzuur,CONCTTE,ng/l
ChemischeStof,PFHpA,perfluorheptaanzuur,CONCTTE,ug/l
ChemischeStof,PFHxA,perfluorhexaanzuur,CONCTTE,ng/l
ChemischeStof,PFHxA,perfluorhexaanzuur,CONCTTE,ug/l
ChemischeStof,PFNA,perfluornonaanzuur,CONCTTE,ng/l
ChemischeStof,PFNA,perfluornonaanzuur,CONCTTE,ug/l
ChemischeStof,PFOA,perfluoroctaanzuur,CONCTTE,ng/l
ChemischeStof,PFOA,perfluoroctaanzuur,CONCTTE,ug/l
ChemischeStof,PFOS,perfluoroctaansulfonzuur,CONCTTE,ng/l
ChemischeStof,PFOS,perfluoroctaansulfonzuur,CONCTTE,ug/l
ChemischeStof,PFOSA,perfluoroctaansulfonamide,CONCTTE,ng/l
ChemischeStof,PFOSA,perfluoroctaansulfonamide,CONCTTE,ug/l
ChemischeStof,PFOS_K,"perfluoroctaansulfonaat, kaliumzout",CONCTTE,ng/l
ChemischeStof,PFPA,perfluorpentaanzuur,CONCTTE,ng/l
ChemischeStof,PFPA,perfluorpentaanzuur,CONCTTE,ug/l
ChemischeStof,PFTDA,perfluortridecaanzuur,CONCTTE,ng/l
ChemischeStof,PFTDA,perfluortridecaanzuur,CONCTTE,ug/l
ChemischeStof,PFTeDA,perfluortetradecaanzuur,CONCTTE,ng/l
ChemischeStof,PFTeDA,perfluortetradecaanzuur,CONCTTE,ug/l
ChemischeStof,PFUdA,perfluorundecaanzuur,CONCTTE,ng/l
ChemischeStof,PFUdA,perfluorundecaanzuur,CONCTTE,ug/l
ChemischeStof,PO4,fosfaat,CONCTTE,mg/l
ChemischeStof,Pb,lood,CONCTTE,ug/l
ChemischeStof,PeClBen,pentachloorbenzeen,CONCTTE,ug/l
ChemischeStof,PeClFol,pentachloorfenol,CONCTTE,ug/l
ChemischeStof,PeClNO2Ben,pentachloornitrobenzeen (quintozeen),CONCTTE,ug/l
ChemischeStof,Po210,polonium 210,ACTVTCCTTE,mBq/l
ChemischeStof,Ptot,fosfor totaal,CONCTTE,mg/l
ChemischeStof,Pyr,pyreen,CONCTTE,ug/l
ChemischeStof,RESTBTA,Rest Beta,ACTVTCCTTE,mBq/l
ChemischeStof,Ra226,radium 226,ACTVTCCTTE,mBq/l
ChemischeStof,Ra228,radium 228,ACTVTCCTTE,mBq/l
ChemischeStof,Rb,rubidium,CONCTTE,ug/l
ChemischeStof,Ru103,ruthenium 103,ACTVTCCTTE,mBq/l
ChemischeStof,Ru106,ruthenium 106,ACTVTCCTTE,mBq/l
ChemischeStof,S,sulfide,CONCTTE,mg/l
ChemischeStof,SO4,sulfaat,CONCTTE,mg/l
ChemischeStof,Sb,antimoon,CONCTTE,ug/l
ChemischeStof,Sb122,antimoon 122,ACTVTCCTTE,mBq/l
ChemischeStof,Sb124,antimoon 124,ACTVTCCTTE,mBq/l
ChemischeStof,Sb125,antimoon 125,ACTVTCCTTE,mBq/l
ChemischeStof,Se,seleen,CONCTTE,ug/l
ChemischeStof,Si,silicium,CONCTTE,mg/l
ChemischeStof,SiO2,siliciumdioxide,CONCTTE,mg/l
ChemischeStof,SmtlCl,S-metolachloor,CONCTTE,ug/l
ChemischeStof,Sn,tin,CONCTTE,ug/l
ChemischeStof,Sr,strontium,CONCTTE,ug/l
ChemischeStof,Sr90,strontium 90,ACTVTCCTTE,mBq/l
ChemischeStof,Stot,zwavel totaal,CONCTTE,mg/l
ChemischeStof,T2ClC2yPO4,tri(2-chloorethyl)fosfaat,CONCTTE,ug/l
ChemischeStof,T4C4ySn,tetrabutyltin,CONCTTE,ug/l
ChemischeStof,T4ClC1a,tetrachloormethaan (tetra),CONCTTE,ug/l
ChemischeStof,T4ClC2a,tetrachloorethaan,CONCTTE,ug/l
ChemischeStof,T4ClC2e,tetrachlooretheen (per),CONCTTE,ug/l
ChemischeStof,T4Clvfs,tetrachloorvinfos (mixed isomeren),CONCTTE,ug/l
ChemischeStof,T4Dfn,tetradifon,CONCTTE,ug/l
ChemischeStof,T4Hflmde,tetrahydroftaalimide,CONCTTE,ug/l
ChemischeStof,T4mtn,tetramethrin,CONCTTE,ug/l
ChemischeStof,T4sl,tetrasul,CONCTTE,ug/l
ChemischeStof,TBrC1a,tribroommethaan,CONCTTE,ug/l
ChemischeStof,TC2yPO4,triethylfosfaat,CONCTTE,ug/l
ChemischeStof,TC2ycitt,triethylcitraat,CONCTTE,ug/l
ChemischeStof,TC4yPO4,tributylfosfaat,CONCTTE,ug/l
ChemischeStof,TC4ySn,tributyltin (kation),CONCTTE,ug/l
ChemischeStof,TClC1a,trichloormethaan (chloroform),CONCTTE,ug/l
ChemischeStof,TClC2e,trichlooretheen (tri),CONCTTE,ug/l
ChemischeStof,TClC3yPO4,tris(1-chloor-2-propyl)fosfaat,CONCTTE,ug/l
ChemischeStof,TClfn,trichloorfon,CONCTTE,ug/l
ChemischeStof,TEGDME,tetraethyleenglycoldimethylether,CONCTTE,ug/l
ChemischeStof,TFyPO4,trifenylfosfaat,CONCTTE,ug/l
ChemischeStof,TFySn,trifenyltin (kation),CONCTTE,ug/l
ChemischeStof,TFyffnS,trifenylfosfinesulfide,CONCTTE,ug/l
ChemischeStof,TOTAFA,Totaal Alfa,ACTVTCCTTE,mBq/l
ChemischeStof,TOTBTA,Totaal Beta,ACTVTCCTTE,mBq/l
ChemischeStof,TPPO,trifenylfosfineoxide,CONCTTE,ug/l
ChemischeStof,Tadmfn,triadimefon,CONCTTE,ug/l
ChemischeStof,Tadmnl,triadimenol,CONCTTE,ug/l
ChemischeStof,Talt,triallaat,CONCTTE,ug/l
ChemischeStof,Tazfs,triazofos,CONCTTE,ug/l
ChemischeStof,Tazmt,triazamaat,CONCTTE,ug/l
ChemischeStof,TbnrC1y,tribenuronmethyl,CONCTTE,ug/l
ChemischeStof,Tc99,technetium 99,ACTVTCCTTE,mBq/l
ChemischeStof,Tc99m,technetium 99m (metastabiel),ACTVTCCTTE,mBq/l
ChemischeStof,TccC6ySn,tricyclohexyltin (kation),CONCTTE,ug/l
ChemischeStof,Tccbn,triclocarban,CONCTTE,ug/l
ChemischeStof,Tcpr,triclopyr,CONCTTE,ug/l
ChemischeStof,Tcsn,triclosan,CONCTTE,ug/l
ChemischeStof,Te,tellurium,CONCTTE,ug/l
ChemischeStof,Tfmzl,triflumizool,CONCTTE,ug/l
ChemischeStof,Tfrlne,trifluraline,CONCTTE,ug/l
ChemischeStof,Tfrne,triforine,CONCTTE,ug/l
ChemischeStof,TfsfrnC1y,triflusulfuron-methyl,CONCTTE,ug/l
ChemischeStof,Tfxsbn,trifloxystrobin,CONCTTE,ug/l
ChemischeStof,Ti,titaan,CONCTTE,ug/l
ChemischeStof,TiC4yPO4,triisobutylfosfaat,CONCTTE,ug/l
ChemischeStof,Tl,thallium,CONCTTE,ug/l
ChemischeStof,Tl201,thallium 201,ACTVTCCTTE,mBq/l
ChemischeStof,Tmtpm,trimethoprim,CONCTTE,ug/l
ChemischeStof,TnxpcC2y,trinexapac-ethyl,CONCTTE,ug/l
ChemischeStof,Tol,tolueen,CONCTTE,ug/l
ChemischeStof,U,uranium,CONCTTE,ug/l
ChemischeStof,V,vanadium,CONCTTE,ug/l
ChemischeStof,W,wolfraam,CONCTTE,ug/l
ChemischeStof,Zn,zink,CONCTTE,ug/l
ChemischeStof,Zn65,zink 65,ACTVTCCTTE,mBq/l
ChemischeStof,aHCH,alfa-hexachloorcyclohexaan,CONCTTE,ug/l
ChemischeStof,abmtne,abamectine,CONCTTE,ug/l
ChemischeStof,acdne,acridine,CONCTTE,ug/l
ChemischeStof,acnfn,aclonifen,CONCTTE,ug/l
ChemischeStof,acqncl,acequinocyl,CONCTTE,ug/l
ChemischeStof,actmpd,acetamiprid,CONCTTE,ug/l
ChemischeStof,actsfmtozl,acetylsulfamethoxazol,CONCTTE,ug/l
ChemischeStof,aedsfn,alfa-endosulfan,CONCTTE,ug/l
ChemischeStof,alCl,alachloor,CONCTTE,ug/l
ChemischeStof,alDcSO,aldicarbsulfoxide,CONCTTE,ug/l
ChemischeStof,alDcb,aldicarb,CONCTTE,ug/l
ChemischeStof,alDcsfn,aldicarbsulfon,CONCTTE,ug/l
ChemischeStof,aldn,aldrin,CONCTTE,ug/l
ChemischeStof,alltn,allethrin,CONCTTE,ug/l
ChemischeStof,amdTzinzr,amidotrizoïnezuur,CONCTTE,ug/l
ChemischeStof,amdsfrn,amidosulfuron,CONCTTE,ug/l
ChemischeStof,amodne,amiodarone,CONCTTE,ug/l
ChemischeStof,amsbm,amisulbrom,CONCTTE,ug/l
ChemischeStof,amspde,amisulpride,CONCTTE,ng/l
ChemischeStof,amspde,amisulpride,CONCTTE,ug/l
ChemischeStof,amtl,amitrol,CONCTTE,ug/l
ChemischeStof,amtn,ametryn,CONCTTE,ug/l
ChemischeStof,amttdn,ametoctradin,CONCTTE,ug/l
ChemischeStof,antcnn,antrachinon,CONCTTE,ug/l
ChemischeStof,aslm,asulam,CONCTTE,ug/l
ChemischeStof,asprne,aspirine,CONCTTE,ug/l
ChemischeStof,atnll,atenolol,CONCTTE,ug/l
ChemischeStof,atvttne,atorvastatine,CONCTTE,ug/l
ChemischeStof,atzne,atrazine,CONCTTE,ug/l
ChemischeStof,azacnzl,azaconazool,CONCTTE,ug/l
ChemischeStof,azdrtn,azadirachtin,CONCTTE,ug/l
ChemischeStof,azmtfs,azamethifos,CONCTTE,ug/l
ChemischeStof,azoxsbn,azoxystrobin,CONCTTE,ug/l
ChemischeStof,azsfrn,azimsulfuron,CONCTTE,ug/l
ChemischeStof,aztmcne,azitromycine,CONCTTE,ng/l
ChemischeStof,aztmcne,azitromycine,CONCTTE,ug/l
ChemischeStof,bHCH,beta-hexachloorcyclohexaan,CONCTTE,ug/l
ChemischeStof,bedsfn,beta-endosulfan,CONCTTE,ug/l
ChemischeStof,benfn,benefin,CONCTTE,ug/l
ChemischeStof,benlxlM,benalaxyl-M,CONCTTE,ug/l
ChemischeStof,bentavlcbiC3,benthiavalicarb-isopropyl,CONCTTE,ug/l
ChemischeStof,bentzn,bentazon,CONCTTE,ug/l
ChemischeStof,benzCl,benzylchloride,CONCTTE,ug/l
ChemischeStof,benzadnne,benzyladenine,CONCTTE,ug/l
ChemischeStof,benzcine,benzocaine,CONCTTE,ug/l
ChemischeStof,benzvdfpr,benzovindiflupyr,CONCTTE,ug/l
ChemischeStof,bezafbt,bezafibraat,CONCTTE,ug/l
ChemischeStof,bfnx,bifenox,CONCTTE,ug/l
ChemischeStof,biFy,bifenyl,CONCTTE,ug/l
ChemischeStof,bifnzt,bifenazaat,CONCTTE,ug/l
ChemischeStof,biftn,bifenthrin,CONCTTE,ug/l
ChemischeStof,bis2C1oxC2yE,bis(2-methoxyethyl)ether,CONCTTE,ug/l
ChemischeStof,bisFolA,bisfenol-A,CONCTTE,ug/l
ChemischeStof,bisPFC10yPO4,bisperfluordecylwaterstoffosfaat (8:2 diPAP),CONCTTE,ug/l
ChemischeStof,bispll,bisoprolol,CONCTTE,ug/l
ChemischeStof,bittnl,bitertanol,CONCTTE,ug/l
ChemischeStof,bixfn,bixafen,CONCTTE,ug/l
ChemischeStof,boscld,boscalid,CONCTTE,ug/l
ChemischeStof,bromcl,bromacil,CONCTTE,ug/l
ChemischeStof,bromxnbtrt,bromoxynil butyraat,CONCTTE,ug/l
ChemischeStof,bupfzn,buprofezin,CONCTTE,ug/l
ChemischeStof,buprmt,bupirimaat,CONCTTE,ug/l
ChemischeStof,butCl,butachloor,CONCTTE,ug/l
ChemischeStof,butcbOxm,butocarboxim,CONCTTE,ug/l
ChemischeStof,butcbOxmSO,butocarboximsulfoxide,CONCTTE,ug/l
ChemischeStof,c12DClC2e,"cis-1,2-dichlooretheen",CONCTTE,ug/l
ChemischeStof,c13DClC3e,"cis-1,3-dichloorpropeen",CONCTTE,ug/l
ChemischeStof,cCldn,cis-chloordaan,CONCTTE,ug/l
ChemischeStof,cF16C10ezr,cis-hexadecafluor-2-deceenzuur,CONCTTE,ng/l
ChemischeStof,cF16C10ezr,cis-hexadecafluor-2-deceenzuur,CONCTTE,ug/l
ChemischeStof,cHCH,gamma-hexachloorcyclohexaan (lindaan),CONCTTE,ug/l
ChemischeStof,cHpClepO,cis-heptachloorepoxide,CONCTTE,ug/l
ChemischeStof,cT4Clvfs,cis-tetrachloorvinfos (Z-isomeer),CONCTTE,ug/l
ChemischeStof,caffine,caffeine,CONCTTE,ug/l
ChemischeStof,candstn,candesartan,CONCTTE,ng/l
ChemischeStof,candstn,candesartan,CONCTTE,ug/l
ChemischeStof,captabne,capectiabine,CONCTTE,ug/l
ChemischeStof,captn,captan,CONCTTE,ug/l
ChemischeStof,carbdx,carbadox,CONCTTE,ug/l
ChemischeStof,carbdzm,carbendazim,CONCTTE,ug/l
ChemischeStof,carbfrn,carbofuran,CONCTTE,ug/l
ChemischeStof,carbmzpne,carbamazepine,CONCTTE,ug/l
ChemischeStof,carbrl,carbaryl,CONCTTE,ug/l
ChemischeStof,carbtAd,carbetamide,CONCTTE,ug/l
ChemischeStof,carftznC2y,carfentrazon-ethyl,CONCTTE,ug/l
ChemischeStof,cefrxm,cefuroxim,CONCTTE,ug/l
ChemischeStof,chloftzn,chlofentezin,CONCTTE,ug/l
ChemischeStof,chloratnlpl,chlorantraniliprole,CONCTTE,ug/l
ChemischeStof,cindnC2y,cinidon-ethyl,CONCTTE,ug/l
ChemischeStof,cipfxcne,ciprofloxacine,CONCTTE,ug/l
ChemischeStof,citlpm,citalopram,CONCTTE,ng/l
ChemischeStof,citlpm,citalopram,CONCTTE,ug/l
ChemischeStof,clartmcne,claritromycine,CONCTTE,ug/l
ChemischeStof,cletdm,clethodim,CONCTTE,ug/l
ChemischeStof,clindmcne,clindamycine,CONCTTE,ug/l
ChemischeStof,clmqat,chloormequat,CONCTTE,ug/l
ChemischeStof,clodnfppgl,clodinafop-propargyl,CONCTTE,ug/l
ChemischeStof,clofbnzr,clofibrinezuur,CONCTTE,ug/l
ChemischeStof,clofbt,clofibraat,CONCTTE,ug/l
ChemischeStof,clomzn,clomazon,CONCTTE,ug/l
ChemischeStof,cloprld,clopyralid,CONCTTE,ug/l
ChemischeStof,cloqtcmxl,cloquintoceet-mexyl,CONCTTE,ug/l
ChemischeStof,clotandne,clothianidine,CONCTTE,ug/l
ChemischeStof,clotmzl,clotrimazol,CONCTTE,ug/l
ChemischeStof,cloxclne,cloxacilline,CONCTTE,ug/l
ChemischeStof,clozpne,clozapine,CONCTTE,ug/l
ChemischeStof,cltofs,chloorthiofos,CONCTTE,ug/l
ChemischeStof,clxlnl,chloorxylenol,CONCTTE,ug/l
ChemischeStof,cortsn,cortison,CONCTTE,ug/l
ChemischeStof,cpyrfnx,cis-pyrifenox,CONCTTE,ug/l
ChemischeStof,cumfs,cumafos,CONCTTE,ug/l
ChemischeStof,cumn,cumeen,CONCTTE,ug/l
ChemischeStof,cyatnlple,cyantraniliprole,CONCTTE,ug/l
ChemischeStof,cyazfAd,cyazofamide,CONCTTE,ug/l
ChemischeStof,cycC6a,cyclohexaan,CONCTTE,ug/l
ChemischeStof,cycat,cycloaat,CONCTTE,ug/l
ChemischeStof,cycffAd,cyclofosfamide,CONCTTE,ug/l
ChemischeStof,cycxdm,cycloxydim,CONCTTE,ug/l
ChemischeStof,cyffAd,cyflufenamide,CONCTTE,ug/l
ChemischeStof,cyfmtfn,cyflumetofen,CONCTTE,ug/l
ChemischeStof,cyftn,cyfluthrin,CONCTTE,ug/l
ChemischeStof,cymOanl,cymoxanil,CONCTTE,ug/l
ChemischeStof,cypcnzl,cyproconazool,CONCTTE,ug/l
ChemischeStof,cypdnl,cyprodinil,CONCTTE,ug/l
ChemischeStof,cypmtn,cypermethrin,CONCTTE,ug/l
ChemischeStof,cyrmzne,cyromazine,CONCTTE,ug/l
ChemischeStof,dHCH,delta-hexachloorcyclohexaan,CONCTTE,ug/l
ChemischeStof,damnzde,daminozide,CONCTTE,ug/l
ChemischeStof,dapsn,dapson,CONCTTE,ug/l
ChemischeStof,demtSC1y,demeton-S-methyl,CONCTTE,ug/l
ChemischeStof,demtSC1ysfn,demeton-S-methylsulfon,CONCTTE,ug/l
ChemischeStof,desC2yatzne,desethylatrazine,CONCTTE,ug/l
ChemischeStof,desC2ytC4yaz,desethylterbutylazine,CONCTTE,ug/l
ChemischeStof,desFyClidzn,desfenylchloridazon,CONCTTE,ug/l
ChemischeStof,desiC3yatzne,desisopropylatrazine,CONCTTE,ug/l
ChemischeStof,desmdfm,desmedifam,CONCTTE,ug/l
ChemischeStof,desmtn,desmetryn,CONCTTE,ug/l
ChemischeStof,dexmtsn,dexamethason,CONCTTE,ug/l
ChemischeStof,dieldn,dieldrin,CONCTTE,ug/l
ChemischeStof,dmtn,deltamethrin,CONCTTE,ug/l
ChemischeStof,dodmf,dodemorf,CONCTTE,ug/l
ChemischeStof,dodne,dodine,CONCTTE,ug/l
ChemischeStof,eTDazl,etridiazol,CONCTTE,ug/l
ChemischeStof,emmtbzat,emamectin-benzoaat,CONCTTE,ug/l
ChemischeStof,emmtn,emamectin,CONCTTE,ug/l
ChemischeStof,endn,endrin,CONCTTE,ug/l
ChemischeStof,endsfSO4,endosulfansulfaat,CONCTTE,ug/l
ChemischeStof,endsfn,endosulfan (som alfa- en beta-isomeer),CONCTTE,ug/l
ChemischeStof,epxcnzl,epoxiconazool,CONCTTE,ug/l
ChemischeStof,ertmcne,erytromycine,CONCTTE,ug/l
ChemischeStof,esfvlrt,esfenvaleraat,CONCTTE,ug/l
ChemischeStof,etfmst,ethofumesaat,CONCTTE,ug/l
ChemischeStof,etfn,ethefon,CONCTTE,ug/l
ChemischeStof,etfpx,ethofenprox,CONCTTE,ug/l
ChemischeStof,etfs,etrimfos,CONCTTE,ug/l
ChemischeStof,etnetDol,ethinylestradiol,CONCTTE,ug/l
ChemischeStof,etofcb,ethiofencarb,CONCTTE,ug/l
ChemischeStof,etofcbSO,ethiofencarbsulfoxide,CONCTTE,ug/l
ChemischeStof,etofcbsfn,ethiofencarbsulfon,CONCTTE,ug/l
ChemischeStof,eton,ethion,CONCTTE,ug/l
ChemischeStof,etpfs,ethoprofos,CONCTTE,ug/l
ChemischeStof,etxzl,etoxazool,CONCTTE,ug/l
ChemischeStof,feNO2ton,fenitrothion,CONCTTE,ug/l
ChemischeStof,fenClfs,fenchloorfos,CONCTTE,ug/l
ChemischeStof,fenOxcb,fenoxycarb,CONCTTE,ug/l
ChemischeStof,fenamfSO,fenamifos-sulfoxide,CONCTTE,ug/l
ChemischeStof,fenamfs,fenamifos,CONCTTE,ug/l
ChemischeStof,fenarml,fenarimol,CONCTTE,ug/l
ChemischeStof,fenbtSnO,fenbutatinoxide,CONCTTE,ug/l
ChemischeStof,fenfbt,fenofibraat,CONCTTE,ug/l
ChemischeStof,fenhxAd,fenhexamide,CONCTTE,ug/l
ChemischeStof,fenmdfm,fenmedifam,CONCTTE,ug/l
ChemischeStof,fenmdn,fenamidon,CONCTTE,ug/l
ChemischeStof,fenpfn,fenoprofen,CONCTTE,ug/l
ChemischeStof,fenppdn,fenpropidin,CONCTTE,ug/l
ChemischeStof,fenppmf,fenpropimorf,CONCTTE,ug/l
ChemischeStof,fenprAe,fenpyrazamine,CONCTTE,ug/l
ChemischeStof,fenpratn,fenpropathrin,CONCTTE,ug/l
ChemischeStof,fenrn,fenuron,CONCTTE,ug/l
ChemischeStof,fentat,fenthoaat,CONCTTE,ug/l
ChemischeStof,fentn,fenothrin,CONCTTE,ug/l
ChemischeStof,fenton,fenthion,CONCTTE,ug/l
ChemischeStof,fentrl,fenoterol,CONCTTE,ug/l
ChemischeStof,fenvlrt,fenvaleraat,CONCTTE,ug/l
ChemischeStof,fenxppPC2y,fenoxaprop-P-ethyl,CONCTTE,ug/l
ChemischeStof,fenzn,fenazon (antipyrine),CONCTTE,ug/l
ChemischeStof,fipnl,fipronil,CONCTTE,ug/l
ChemischeStof,floncmd,flonicamid,CONCTTE,ug/l
ChemischeStof,florfncl,florfenicol,CONCTTE,ug/l
ChemischeStof,flrtmn,flurtamon,CONCTTE,ug/l
ChemischeStof,fluOxpmtl,fluroxypyr-meptyl,CONCTTE,ug/l
ChemischeStof,fluazfPC4y,fluazifop-P-butyl,CONCTTE,ug/l
ChemischeStof,fluazfp,fluazifop,CONCTTE,ug/l
ChemischeStof,fluazfpP,fluazifop-P,CONCTTE,ug/l
ChemischeStof,fluaznm,fluazinam,CONCTTE,ug/l
ChemischeStof,flubDad,flubendiamide,CONCTTE,ug/l
ChemischeStof,fludoxnl,fludioxonil,CONCTTE,ug/l
ChemischeStof,flufnct,flufenacet,CONCTTE,ug/l
ChemischeStof,flumoxzn,flumioxazin,CONCTTE,ug/l
ChemischeStof,fluopclde,fluopicolide,CONCTTE,ug/l
ChemischeStof,fluoprm,fluopyram,CONCTTE,ug/l
ChemischeStof,fluoxtne,fluoxetine,CONCTTE,ug/l
ChemischeStof,fluprdfrn,flupyradifuron,CONCTTE,ug/l
ChemischeStof,flurOxpr,fluroxypyr,CONCTTE,ug/l
ChemischeStof,flurslm,florasulam,CONCTTE,ug/l
ChemischeStof,flutlnl,flutolanil,CONCTTE,ug/l
ChemischeStof,fluxprxd,fluxapyroxad,CONCTTE,ug/l
ChemischeStof,folpt,folpet,CONCTTE,ug/l
ChemischeStof,fonfs,fonofos,CONCTTE,ug/l
ChemischeStof,forasfrn,foramsulfuron,CONCTTE,ug/l
ChemischeStof,formton,formothion,CONCTTE,ug/l
ChemischeStof,fort,foraat,CONCTTE,ug/l
ChemischeStof,fosC2yAl,fosetyl-aluminium,CONCTTE,ug/l
ChemischeStof,fosfmdn,fosfamidon,CONCTTE,ug/l
ChemischeStof,fosln,fosalon,CONCTTE,ug/l
ChemischeStof,fosmt,fosmet,CONCTTE,ug/l
ChemischeStof,fostazt,fosthiazaat,CONCTTE,ug/l
ChemischeStof,fostl,fosetyl,CONCTTE,ug/l
ChemischeStof,ftalmde,ftalimide,CONCTTE,ug/l
ChemischeStof,furlxl,furalaxyl,CONCTTE,ug/l
ChemischeStof,furmccx,furmecyclox,CONCTTE,ug/l
ChemischeStof,fursmde,furosemide,CONCTTE,ng/l
ChemischeStof,fursmde,furosemide,CONCTTE,ug/l
ChemischeStof,furtocb,furathiocarb,CONCTTE,ug/l
ChemischeStof,furzldn,furazolidon,CONCTTE,ug/l
ChemischeStof,gabptne,gabapentine,CONCTTE,ug/l
ChemischeStof,gemfbzl,gemfibrozil,CONCTTE,ug/l
ChemischeStof,glufsnt,glufosinaat,CONCTTE,ug/l
ChemischeStof,glufsntNH4,glufosinaat-ammonium,CONCTTE,ug/l
ChemischeStof,glyfst,glyfosaat,CONCTTE,ug/l
ChemischeStof,halOxfC2oxC2,haloxyfop-ethoxyethyl,CONCTTE,ug/l
ChemischeStof,halOxfPC1y,haloxyfop-P-methyl,CONCTTE,ug/l
ChemischeStof,halOxfp,haloxyfop,CONCTTE,ug/l
ChemischeStof,halaxfnC1y,halauxifen-methyl,CONCTTE,ug/l
ChemischeStof,halon1011,broomchloormethaan,CONCTTE,ug/l
ChemischeStof,heptnfs,heptenofos,CONCTTE,ug/l
ChemischeStof,hextazx,hexythiazox,CONCTTE,ug/l
ChemischeStof,hymxzl,hymexazool,CONCTTE,ug/l
ChemischeStof,iC3yantnlAd,isopropylanthranilamide,CONCTTE,ug/l
ChemischeStof,iClidzn,isochloridazon,CONCTTE,ug/l
ChemischeStof,iOaftl,isoxaflutool,CONCTTE,ug/l
ChemischeStof,iOxnl,ioxynil,CONCTTE,ug/l
ChemischeStof,ibpfn,ibuprofen,CONCTTE,ug/l
ChemischeStof,idn,isodrin,CONCTTE,ug/l
ChemischeStof,iffAd,ifosfamide,CONCTTE,ug/l
ChemischeStof,iffs,isofenfos,CONCTTE,ug/l
ChemischeStof,imdcpd,imidacloprid,CONCTTE,ug/l
ChemischeStof,imzll,imazalil,CONCTTE,ug/l
ChemischeStof,imzmx,imazamox,CONCTTE,ug/l
ChemischeStof,indmtcne,indometacine,CONCTTE,ug/l
ChemischeStof,indxcb,indoxacarb (S-isomeer),CONCTTE,ug/l
ChemischeStof,ipDon,iprodion,CONCTTE,ug/l
ChemischeStof,iptrn,isoproturon,CONCTTE,ug/l
ChemischeStof,irbstan,irbesartan,CONCTTE,ug/l
ChemischeStof,irgrl,irgarol,CONCTTE,ug/l
ChemischeStof,isprzm,isopyrazam,CONCTTE,ug/l
ChemischeStof,isxbn,isoxaben,CONCTTE,ug/l
ChemischeStof,ivmctne,ivermectine,CONCTTE,ug/l
ChemischeStof,ixdfnC2y,isoxadifen-ethyl,CONCTTE,ug/l
ChemischeStof,jodffs,jodfenfos,CONCTTE,ug/l
ChemischeStof,johxl,johexol,CONCTTE,ug/l
ChemischeStof,jompl,jomeprol,CONCTTE,ug/l
ChemischeStof,jopmde,jopromide,CONCTTE,ug/l
ChemischeStof,jopmdl,jopamidol,CONCTTE,ug/l
ChemischeStof,jotlmnzr,jotalaminezuur,CONCTTE,ug/l
