Parameter.groep,Parameter.code,Parameter.omschrijving,Grootheid.code,Eenheid.code
ChemischeStof,2C2ox2C1yC3a,2-ethoxy-2-methylpropaan,CONCTTE,ug/l
ChemischeStof,2C2yC6y4C1ox,2-ethylhexyl-4-methoxycinnamaat,CONCTTE,ug/l
ChemischeStof,2C2yTol,2-ethyltolueen,CONCTTE,ug/l
ChemischeStof,2ClFol,2-chloorfenol,CONCTTE,ug/l
ChemischeStof,2ClTol,2-chloortolueen,CONCTTE,ug/l
ChemischeStof,2FyFol,2-fenylfenol,CONCTTE,ug/l
ChemischeStof,2HOxatzne,2-hydroxyatrazine,CONCTTE,ug/l
ChemischeStof,2HOxibpfn,2-hydroxyibuprofen,CONCTTE,ug/l
ChemischeStof,2NO2Fol,2-nitrofenol,CONCTTE,ug/l
ChemischeStof,2Nafsfzr,2-naftaleensulfonzuur,CONCTTE,ug/l
ChemischeStof,2PFC6yC2a1sf,2-(perfluorhexyl)ethaan-1-sulfonzuur (6:2 FTS),CONCTTE,ng/l
ChemischeStof,2PFC6yC2a1sf,2-(perfluorhexyl)ethaan-1-sulfonzuur (6:2 FTS),CONCTTE,ug/l
ChemischeStof,345TClFol,"3,4,5-trichloorfenol",CONCTTE,ug/l
ChemischeStof,34DClAn,"3,4-dichlooraniline",CONCTTE,ug/l
ChemischeStof,34DClFol,"3,4-dichloorfenol",CONCTTE,ug/l
ChemischeStof,35DClAn,"3,5-dichlooraniline",CONCTTE,ug/l
ChemischeStof,35DClFol,"3,5-dichloorfenol",CONCTTE,ug/l
ChemischeStof,3C1yprdne,3-methylpyridine,CONCTTE,ug/l
ChemischeStof,3C2yTol,3-ethyltolueen,CONCTTE,ug/l
ChemischeStof,3Cl4C1yFyura,(3-chloor-4-methylfenyl)urea,CONCTTE,ug/l
ChemischeStof,3ClC3e,3-chloorpropeen,CONCTTE,ug/l
ChemischeStof,3ClFol,3-chloorfenol,CONCTTE,ug/l
ChemischeStof,3ClTol,3-chloortolueen,CONCTTE,ug/l
ChemischeStof,44DDD,"4,4'-dichloordifenyldichloorethaan",CONCTTE,ug/l
ChemischeStof,44DDE,"4,4'-dichloordifenyldichlooretheen",CONCTTE,ug/l
ChemischeStof,44DDT,"4,4'-dichloordifenyltrichloorethaan",CONCTTE,ug/l
ChemischeStof,4C2yTol,4-ethyltolueen,CONCTTE,ug/l
ChemischeStof,4C9yFol,4-nonylfenol,CONCTTE,ug/l
ChemischeStof,4CPA,4-chloorfenoxyazijnzuur,CONCTTE,ug/l
ChemischeStof,4ClAn,4-chlooraniline,CONCTTE,ug/l
ChemischeStof,4ClFol,4-chloorfenol,CONCTTE,ug/l
ChemischeStof,4ClTol,4-chloortolueen,CONCTTE,ug/l
ChemischeStof,4ttC8yFol,4-tertiair-octylfenol,CONCTTE,ug/l
ChemischeStof,ADONA,"ammonium 4,8-dioxa-3H-perfluornonanoaat",CONCTTE,ug/l
ChemischeStof,AMPA,aminomethylfosfonzuur,CONCTTE,ug/l
ChemischeStof,AcNe,acenafteen,CONCTTE,ug/l
ChemischeStof,AcNy,acenaftyleen,CONCTTE,ug/l
ChemischeStof,Ag,zilver,CONCTTE,ug/l
ChemischeStof,Ag110m,zilver 110m (metastabiel),ACTVTCCTTE,mBq/l
ChemischeStof,Al,aluminium,CONCTTE,ug/l
ChemischeStof,Am241,americium 241,ACTVTCCTTE,mBq/l
ChemischeStof,Ant,antraceen,CONCTTE,ug/l
ChemischeStof,Aofnzn,aminofenazon,CONCTTE,ug/l
ChemischeStof,Aoprld,aminopyralid,CONCTTE,ug/l
ChemischeStof,As,arseen,CONCTTE,ug/l
ChemischeStof,B,boor,CONCTTE,ug/l
ChemischeStof,BHT,butylhydroxytolueen (BHT),CONCTTE,ug/l
ChemischeStof,BZV5,Biochemisch zuurstofverbruik over 5 dagen,CONCTTE,mg/l
ChemischeStof,BZV5a,Biochemisch zuurstofverbruik met allylthioureum,CONCTTE,mg/l
ChemischeStof,Ba,barium,CONCTTE,ug/l
ChemischeStof,BaA,benzo(a)antraceen,CONCTTE,ug/l
ChemischeStof,BaP,benzo(a)pyreen,CONCTTE,ug/l
ChemischeStof,BbF,benzo(b)fluorantheen,CONCTTE,ug/l
ChemischeStof,Be,beryllium,CONCTTE,ug/l
ChemischeStof,Be7,beryllium 7,ACTVTCCTTE,mBq/l
ChemischeStof,Ben,benzeen,CONCTTE,ug/l
ChemischeStof,BghiPe,benzo(ghi)peryleen,CONCTTE,ug/l
ChemischeStof,BkF,benzo(k)fluorantheen,CONCTTE,ug/l
ChemischeStof,Br,bromide,CONCTTE,mg/l
ChemischeStof,BrBen,broombenzeen,CONCTTE,ug/l
ChemischeStof,BrOxnOcnat,broomoxynil-octanoaat,CONCTTE,ug/l
ChemischeStof,BrOxnl,broomoxynil,CONCTTE,ug/l
ChemischeStof,Brpplt,broompropylaat,CONCTTE,ug/l
ChemischeStof,C1oxfnzde,methoxyfenozide,CONCTTE,ug/l
ChemischeStof,C1yBrfs,methylbromofos,CONCTTE,ug/l
ChemischeStof,C1yClprfs,methylchloorpyrifos,CONCTTE,ug/l
ChemischeStof,C1yOxdmtn,methyloxydemeton,CONCTTE,ug/l
ChemischeStof,C1yazfs,methylazinfos,CONCTTE,ug/l
ChemischeStof,C1ydesFyClid,methyl-desfenylchloridazon,CONCTTE,ug/l
ChemischeStof,C1ymsfrn,methyl-metsulfuron,CONCTTE,ug/l
ChemischeStof,C1ymtclt,methylmethacrylaat,CONCTTE,ug/l
ChemischeStof,C1yprmfs,methylpirimifos,CONCTTE,ug/l
ChemischeStof,C1yprton,methylparathion,CONCTTE,ug/l
ChemischeStof,C1yttC4yEtr,methyl-tertiair-butylether,CONCTTE,ug/l
ChemischeStof,C2oxC2yactt,ethoxyethylacetaat,CONCTTE,mg/l
ChemischeStof,C2oxsfrn,ethoxysulfuron,CONCTTE,ug/l
ChemischeStof,C2yBen,ethylbenzeen,CONCTTE,ug/l
ChemischeStof,C2yBrfs,ethylbromofos,CONCTTE,ug/l
ChemischeStof,C2yClprfs,ethylchloorpyrifos,CONCTTE,ug/l
ChemischeStof,C2yazfs,ethylazinfos,CONCTTE,ug/l
ChemischeStof,C2yetourum,ethyleenthioureum,CONCTTE,ug/l
ChemischeStof,C2yprmfs,ethylpirimifos,CONCTTE,ug/l
ChemischeStof,C2yprton,ethylparathion,CONCTTE,ug/l
ChemischeStof,C4yBen,butylbenzeen,CONCTTE,ug/l
ChemischeStof,C4yBensfAd,butylbenzeensulfonamide,CONCTTE,ug/l
ChemischeStof,C9yFol,nonylfenol,CONCTTE,ug/l
ChemischeStof,CHLFa,chlorofyl-a,CONCTTE,ug/l
ChemischeStof,CHLFb,chlorofyl-b,CONCTTE,ug/l
ChemischeStof,CN,cyanide,CONCTTE,ug/l
ChemischeStof,CNazne,cyanazine,CONCTTE,ug/l
ChemischeStof,CO3,carbonaat,CONCTTE,mg/l
ChemischeStof,CO3,carbonaat,CONCTTE,mmol/l
ChemischeStof,CZV,Chemisch zuurstofverbruik,CONCTTE,mg/l
ChemischeStof,Ca,calcium,CONCTTE,mg/l
ChemischeStof,Ca,calcium,CONCTTE,mmol/l
ChemischeStof,Ca,calcium,CONCTTE,ug/l
ChemischeStof,CaCO3,calciumcarbonaat,CONCTTE,mg/l
ChemischeStof,Cd,cadmium,CONCTTE,ug/l
ChemischeStof,Ce144,cerium 144,ACTVTCCTTE,mBq/l
ChemischeStof,Chr,chryseen,CONCTTE,ug/l
ChemischeStof,Cl,chloride,CONCTTE,mg/l
ChemischeStof,ClBen,chloorbenzeen,CONCTTE,ug/l
ChemischeStof,ClC2e,chlooretheen (vinylchloride),CONCTTE,ug/l
ChemischeStof,ClOxnl,chlooroxynil,CONCTTE,ug/l
ChemischeStof,Clafncl,chlooramfenicol,CONCTTE,ug/l
ChemischeStof,Clbmrn,chloorbromuron,CONCTTE,ug/l
ChemischeStof,Clfsn,chloorfenson,CONCTTE,ug/l
ChemischeStof,Clfvfs,chloorfenvinfos,CONCTTE,ug/l
ChemischeStof,Clidzn,chloridazon,CONCTTE,ug/l
ChemischeStof,Clmfs,chloormefos,CONCTTE,ug/l
ChemischeStof,ClmqCl,chloormequatchloride,CONCTTE,ug/l
ChemischeStof,Cloxrn,chlooroxuron,CONCTTE,ug/l
ChemischeStof,Clpfm,chloorprofam,CONCTTE,ug/l
ChemischeStof,Clsfrn,chloorsulfuron,CONCTTE,ug/l
ChemischeStof,Cltlnl,chloorthalonil,CONCTTE,ug/l
ChemischeStof,Cltlrn,chloortoluron,CONCTTE,ug/l
ChemischeStof,Co,kobalt,CONCTTE,ug/l
ChemischeStof,Co58,kobalt 58,ACTVTCCTTE,mBq/l
ChemischeStof,Co60,kobalt 60,ACTVTCCTTE,mBq/l
ChemischeStof,Corg,koolstof organisch,CONCTTE,mg/l
ChemischeStof,Cr,chroom,CONCTTE,ug/l
ChemischeStof,Cs,cesium,CONCTTE,ug/l
ChemischeStof,Cs134,cesium 134,ACTVTCCTTE,mBq/l
ChemischeStof,Cs137,cesium 137,ACTVTCCTTE,mBq/l
ChemischeStof,Cu,koper,CONCTTE,ug/l
ChemischeStof,DBahAnt,"dibenzo(a,h)antraceen",CONCTTE,ug/l
ChemischeStof,DBrC1a,dibroommethaan,CONCTTE,ug/l
ChemischeStof,DBrClC1a,dibroomchloormethaan,CONCTTE,ug/l
ChemischeStof,DC1oxC1a,dimethoxymethaan,CONCTTE,ug/l
ChemischeStof,DC1yDS,dimethyldisulfide,CONCTTE,ug/l
ChemischeStof,DC1ysAd,dimethylsulfamide,CONCTTE,ug/l
